koi_fpflag_ss,koi_fpflag_co,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag,label
0,0,2.090811305,134.17462,0.746,3.388,115.9,1.62,1642.0,1718.04,19.9,5739.0,4.191,1.384,15.084,1
0,0,3.180027898,133.49863,0.196,3.5797,120.3,1.53,1458.0,1066.86,50.4,5847.0,4.191,1.402,12.487,1
0,0,50.4467417,178.5014,0.379,7.159,370.3,2.67,568.0,24.64,19.4,5739.0,4.191,1.384,15.084,1
0,0,11.76307164,180.93613,0.048,2.9076,1037.3,2.35,616.0,33.99,48.9,4959.0,4.603,0.756,15.208,1
0,0,56.2279271,132.29259,0.7,3.57,862.7,2.37,366.0,4.22,20.9,4959.0,4.603,0.756,15.208,1
1,1,2.384052875,171.58362,1.178,3.0918,1268.1,17.06,1010.0,244.87,50.5,4794.0,4.58,0.701,15.836,0
0,0,7.953547,174.66224,0.3,2.6312,875.4,2.25,696.0,55.37,38.4,4768.0,4.536,0.779,15.66,1
0,0,4.14451656,135.92831,0.004,2.3421,391.8,1.48,864.0,132.08,22.8,4768.0,4.536,0.779,15.66,1
1,0,4.859386384,173.011469,1.259,2.2757,5385.612499999999,38.33,1114.0,364.23,255.76250000000002,6072.0,4.47,0.988,15.311,0
0,0,10.526294577,176.522462,0.644,2.5211,5385.612499999999,8.24,713.0,61.16,255.76250000000002,5386.0,4.553,0.793,15.305,1
0,0,4.583520948,169.973972,0.045,2.7055,3812.1,5.39,1038.0,274.98,99.5,5815.0,4.54,0.877,15.287,1
0,0,3.76181843,171.90364,0.926,3.5176,510.6,2.66,1121.0,372.62,35.9,5653.0,4.472,0.949,15.257,1
0,0,8.20396958,169.69138,0.823,2.9667,1024.4,3.01,742.0,71.5,54.4,5015.0,4.499,0.826,15.376,1
0,0,14.49645186,143.41659,0.97,4.016,647.5,3.01,613.0,33.48,25.7,5015.0,4.499,0.826,15.376,1
0,0,12.71809866,175.35526,0.427,3.0957,1149.4,2.31,562.0,23.6,52.7,4702.0,4.592,0.686,15.389,1
0,0,36.06588163,198.58423,0.26,4.3246,1563.8,2.64,397.0,5.88,51.7,4702.0,4.592,0.686,15.389,1
0,0,4.190425659,171.44122,0.458,2.8589,2877.4,6.21,1234.0,547.9,240.6,6073.0,4.392,1.135,15.27,1
0,0,3.709870784,171.987982,0.023,3.0694,2020.3,4.35,1151.0,415.1,116.1,5727.0,4.463,0.978,15.581,1
0,0,16.3297527,177.29506,0.791,6.271,1187.5,3.75,727.0,66.08,74.6,5878.0,4.444,0.987,15.447,1
0,0,27.807566216,186.713552,0.782,4.21587,5385.612499999999,13.84,554.0,22.24,255.76250000000002,5862.0,4.584,0.785,15.482,1
0,0,80.8723469,203.895,0.527,11.195,3604.6,7.59,452.0,9.88,160.9,5510.0,4.222,1.238,15.201,1
1,1,3.166465862,172.002627,1.266,2.9381,4357.2,26.82,954.0,196.31,122.1,4968.0,4.575,0.704,15.999,0
0,0,24.99324319,138.68167,0.686,5.9409,269.6,2.29,712.0,60.88,62.0,5718.0,4.181,1.317,12.377,1
0,0,10.35533116,170.93729,0.029,3.1775,750.6,2.47,777.0,86.22,49.2,5501.0,4.462,0.918,15.018,1
0,0,16.08518937,180.28319,0.867,3.984,1442.4,3.68,613.0,33.43,62.6,5239.0,4.523,0.826,15.219,1
0,0,7.49018305,174.95037,0.02,2.7297,1123.6,2.56,753.0,76.06,53.0,5103.0,4.562,0.787,15.599,1
0,0,36.2761238,201.2869,0.035,4.7865,1572.6,3.03,445.0,9.29,45.5,5103.0,4.562,0.787,15.599,1
0,0,17.46087931,137.26594,0.594,2.2641,812.4,2.32,568.0,24.6,22.6,5103.0,4.562,0.787,15.599,1
0,0,56.0560754,201.16578,0.018,4.685,1626.0,1.94,233.0,0.69,27.4,4196.5,4.757,0.491,15.849,1
0,0,41.408316686,195.78745,0.377,5.0264,5385.612499999999,11.38,453.0,9.93,255.76250000000002,5522.0,4.586,0.747,15.196,1
0,0,5.715425977,174.87931,0.348,2.5242,908.1,2.47,850.0,123.03,59.4,5237.0,4.572,0.826,15.086,1
0,0,49.18394185,141.911924,0.035,11.3364,1646.2,8.2,669.0,47.4,255.76250000000002,5626.0,3.907,2.057,12.654,1
0,0,20.0261412,146.91109,0.957,1.611,421.2,2.28,559.0,23.14,10.7,5237.0,4.572,0.826,15.086,1
1,0,13.61014819,173.987319,1.081,2.594,5385.612499999999,19.02,733.0,68.29,184.1,5697.0,4.46,0.903,15.06,0
1,1,10.44331991,175.4046,0.23,2.743,1159.8,2.66,667.0,46.94,51.7,4947.0,4.516,0.802,15.546,0
0,0,2.237489571,170.81914,0.128,1.8119,315.8,1.41,1160.0,427.17,30.7,5265.0,4.58,0.81,15.001,1
1,0,5.851520671,173.8228336,0.211,3.11058,5385.612499999999,14.62,901.0,155.89,255.76250000000002,5532.0,4.53,0.806,15.33,0
0,0,3.167893418,172.147959,0.026,2.1814,781.2,2.62,1221.0,526.23,64.8,5895.0,4.503,0.94,15.533,1
0,0,4.311780262,173.576483,0.196,2.7251,1154.0,3.11,1038.0,274.84,86.1,5527.0,4.484,0.927,15.604,1
0,0,20.0504494,188.08821,0.383,4.556,840.9,2.69,622.0,35.44,37.8,5527.0,4.484,0.927,15.604,1
0,0,9.76734503,186.57718,0.9,1.6585,569.1,2.67,791.0,92.46,21.1,5527.0,4.484,0.927,15.604,1
0,0,87.105456694375,228.323880625,0.812,12.28915,1141.7,7.78,426.0,7.8,139.3,5626.0,3.907,2.057,12.654,1
1,1,2.861159894,171.648106,0.965,1.8832,1014.3,4.37,1355.0,797.1,58.3,6126.0,4.458,1.021,15.618,0
0,0,26.44439337,194.12074,0.03,3.9783,1843.5,3.91,562.0,23.54,88.0,5427.0,4.463,0.929,15.158,1
0,0,51.53997972,174.055011,0.183,6.3994,3644.3,5.51,450.0,9.67,155.5,5427.0,4.463,0.929,15.158,1
0,0,5.902245782,136.78393,0.209,2.9003,702.3,2.43,926.0,173.74,59.3,5427.0,4.463,0.929,15.158,1
0,0,2.382951591,135.080841,0.479,1.8876,391.6,1.86,1253.0,583.01,41.4,5427.0,4.463,0.929,15.158,1
0,0,21.02250608,207.67593,0.036,4.1072,1772.5,3.07,521.0,17.48,62.4,5067.0,4.585,0.75,15.859,1
0,0,3.219814777,133.00406,0.06,2.0642,488.2,1.69,998.0,234.93,30.5,5103.0,4.562,0.787,15.599,1
0,0,5.912273234,172.184012,0.17,2.3254,961.4,1.73,585.0,27.72,62.8,4196.5,4.696,0.57,15.036,1
0,0,8.98581901,175.68418,0.008,2.8606,881.3,1.65,509.0,15.9,51.8,4196.5,4.696,0.57,15.036,1
1,0,12.940668656,179.423014,0.897,2.4845,5385.612499999999,22.94,723.0,64.64,255.76250000000002,5875.0,4.572,0.809,15.215,0
0,0,33.60123371,186.680343,0.67,4.4056,5385.612499999999,8.46,495.0,14.22,247.9,5149.0,4.447,0.93,15.262,1
0,0,6.76652928,138.0637,0.429,2.9004,450.7,1.97,845.0,120.48,29.2,5149.0,4.447,0.93,15.262,1
0,0,4.347288783,172.23343,0.025,2.1024,451.6,2.36,1174.0,449.79,39.7,5754.0,4.345,1.122,15.024,1
0,0,4.601811819,169.98108,0.567,2.2607,755.9,2.35,896.0,152.91,60.8,4986.0,4.496,0.833,15.024,1
0,0,11.18719905,137.17814,0.387,3.252,353.6,1.55,667.0,46.65,21.9,4986.0,4.496,0.833,15.024,1
1,0,6.998099523,171.898913,1.901,2.0488,5385.612499999999,56.65125,853.0,125.22,192.3,5612.0,4.566,0.829,15.877,0
0,0,5.95489993,170.955871,0.327,2.3892,1410.7,2.33,635.0,38.52,87.2,4261.0,4.641,0.633,15.019,1
0,0,12.03987488,181.22536,0.286,2.7363,1250.6,2.18,502.0,15.06,57.6,4261.0,4.641,0.633,15.019,1
0,0,20.83762895,132.08488,0.706,2.3734,439.0,1.42,418.0,7.24,14.9,4261.0,4.641,0.633,15.019,1
1,1,8.8111022,136.4568,1.223,5.0683,401.1,56.65125,1399.0,904.92,76.8,6200.0,3.8,2.0783750000000003,12.759,0
0,0,23.58917143,173.81994,0.926,5.073,1200.7,3.16,487.0,13.34,53.3,4919.0,4.566,0.721,15.316,1
0,0,6.481633073,122.977657,0.833,3.784,298.5,2.54,1145.0,406.25,125.6,5945.0,4.213,1.302,12.365,1
0,0,10.37168928,172.61729,0.537,3.035,1254.9,3.2,720.0,63.68,64.5,5121.0,4.457,0.888,15.193,1
0,0,4.40841331,172.18582,0.899,5.012,549.4,2.66,1139.0,398.0,45.1,6007.0,4.457,0.961,15.662,1
1,1,7.9426176,174.52563,0.942,6.703,1590.7,4.68,878.0,140.57,60.4,5811.0,4.521,0.926,15.26,0
0,0,87.105456694375,207.35971,0.731,7.558,3136.4,4.53,236.0,0.73,46.8,5067.0,4.585,0.75,15.859,1
1,0,1.956811408,170.694208,1.091,2.1958,5385.612499999999,21.58,1109.0,357.16,125.4,5209.0,4.657,0.603,15.533,0
0,0,9.439459486,177.186096,0.049,2.8979,3036.1,4.16,686.0,52.32,175.2,5097.0,4.597,0.779,15.067,1
0,0,11.523067458,131.969055,0.0,3.8757,507.3,3.13,927.0,174.81,142.0,5644.0,4.162,1.411,12.346,1
0,0,20.47748843,178.66786,0.497,2.8364,1382.4,2.92,530.0,18.65,52.7,5097.0,4.597,0.779,15.067,1
0,0,3.336123113,135.31623,0.252,1.9616,516.3,1.74,970.0,209.79,41.6,5097.0,4.597,0.779,15.067,1
0,0,8.01078456,170.20739,0.192,2.312,1333.6,1.72,453.0,9.9,48.5,4196.5,4.779,0.47,15.847,1
0,0,12.07134205,143.45948,0.014,4.3224,759.2,1.29,395.0,5.74,31.0,4196.5,4.779,0.47,15.847,1
0,0,20.99587872,152.31554,0.228,2.6333,767.3,1.3,328.0,2.74,18.2,4196.5,4.779,0.47,15.847,1
0,0,7.41113177,175.34754,0.712,2.5242,620.5,2.45,905.0,158.11,50.4,5849.0,4.517,0.919,15.031,1
1,0,1.000747038,169.974229,0.908,0.9967,1823.5,4.14,1620.0,1635.2,147.4,5472.0,4.499,0.79,15.419,0
