rowid,kepid,koi_disposition,koi_pdisposition,koi_fpflag_ss,koi_fpflag_co,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,label
8098,6584167,FALSE POSITIVE,FALSE POSITIVE,0,0,0.733724504,132.02461,0.257,2.208,45.9,0.96,2601.0,2761.2975000000006,21.4,6175.0,4.099,1.405,283.72507,42.027374,13.436,0
8101,7336754,FALSE POSITIVE,FALSE POSITIVE,1,0,12.155241119,133.7671874,0.825,6.84353,5385.612499999999,34.62,788.0,91.2,255.76250000000002,5761.0,4.413,0.932,281.49689,42.906078,13.964,0
8103,7350067,CONFIRMED,CANDIDATE,0,0,4.48559215,135.43172,0.442,0.8161,2265.0,0.95,365.0,4.2,15.0,4196.5,5.014499999999998,0.193,287.5264,42.912899,15.737,1
8104,7362632,FALSE POSITIVE,FALSE POSITIVE,0,0,0.566811926,131.79708,0.681,4.181,82.6,0.91,2293.0,2761.2975000000006,22.5,6165.0,4.474,0.942,291.74191,42.958309,15.444,0
8105,7366065,FALSE POSITIVE,FALSE POSITIVE,0,1,0.566803738,131.79343,0.6755,1.8481,100.6,1.13,2450.0,2761.2975000000006,33.1,6300.0,4.404,1.057,292.80829,42.976021,14.313,0
8106,8211521,FALSE POSITIVE,FALSE POSITIVE,0,1,1.69421771,132.006,0.734,4.161,91.1,0.74,1274.0,621.89,15.0,5402.0,4.591,0.717,281.56042,44.184818,15.041,0
8108,8229048,FALSE POSITIVE,FALSE POSITIVE,1,0,2.739477089,131.930634,1.189,3.18229,5385.612499999999,50.48,1475.0,1120.19,255.76250000000002,6469.0,4.431,1.056,290.2905,44.134239,13.636,0
8109,8234477,FALSE POSITIVE,FALSE POSITIVE,1,0,4.028671454,133.9542149,0.294,8.12253,5385.612499999999,52.42,1492.0,1169.87,255.76250000000002,6327.0,4.168,1.528,292.22934,44.160789,13.775,0
8110,9049010,FALSE POSITIVE,FALSE POSITIVE,0,0,0.687004402,131.86316,0.689,3.829,93.7,2.89,2797.125,2761.2975000000006,45.0,6240.0,3.7465000000000015,2.0783750000000003,299.62277,45.364079,13.316,0
8111,9083503,FALSE POSITIVE,FALSE POSITIVE,1,0,0.91839938,131.6132,0.519,4.479,152.1,1.0,1558.0,1389.28,16.8,5222.0,4.556,0.795,289.73306,45.43795,15.908,0
8112,9093566,FALSE POSITIVE,FALSE POSITIVE,0,0,0.94356284,132.3272,0.569,5.721,13.4,0.76,2797.125,2761.2975000000006,16.0,7256.5,4.083,1.984,293.57108,45.413639,12.749,0
8115,9101208,FALSE POSITIVE,FALSE POSITIVE,0,0,1.81139053,132.9689,1.137,8.64,77.5,14.47,1466.0,1092.69,12.5,5941.0,4.519,0.911,295.97623,45.440338,15.372,0
8118,9945280,FALSE POSITIVE,FALSE POSITIVE,1,0,0.651731691,131.751463,1.255,2.4602,5385.612499999999,56.65125,2604.0,2761.2975000000006,255.76250000000002,5791.0,4.052,1.472,289.09744,46.811081,13.879,0
8119,9958053,FALSE POSITIVE,FALSE POSITIVE,0,0,2.73398963,133.755464,0.576,1.52,507.45000000000005,2.68,928.0,2761.2975000000006,30.75,5779.5,4.438,1.0,294.62296,46.826469,11.727,0
8120,9963009,FALSE POSITIVE,FALSE POSITIVE,1,0,40.069674617,153.018227,0.767,9.3564,5385.612499999999,27.38,588.0,28.2,255.76250000000002,5911.0,4.321,1.207,296.4682,46.85178,14.458,0
8121,8545603,FALSE POSITIVE,FALSE POSITIVE,0,0,55.884827,140.6478,0.752,2.283,497.6,2.11,438.0,8.7,7.7,5668.0,4.545,0.868,285.1973,44.64661,15.873,0
8122,10976412,FALSE POSITIVE,FALSE POSITIVE,0,1,3.75938475,134.13833,0.505,1.188,133.1,3.1,1677.0,1868.97,11.3,4976.0,3.7465000000000015,2.0783750000000003,292.2048,48.417881,12.917,0
8123,10979716,FALSE POSITIVE,FALSE POSITIVE,1,0,10.6840477,134.084445,1.012,3.515,5385.612499999999,26.43,444.0,9.21,255.76250000000002,4196.5,4.743,0.523,293.79077,48.401421,15.774,0
8124,10982373,FALSE POSITIVE,FALSE POSITIVE,0,0,2.00280845,132.06909,0.576,1.22,507.45000000000005,2.68,928.0,2761.2975000000006,30.75,5779.5,4.438,1.0,294.90292,48.477211,11.696,0
